n=895
dilX dilY corta  fx  fy |    x<=3    x<=8 |    y<=3    y<=8 | nb=nt x nb=nt y
   2    2     5  20   0 | 96.98% 97.09% | 97.88% 97.99% | 47.60% 39.66%
   2    2     5  20   2 | 96.98% 97.09% | 97.99% 97.99% | 47.60% 39.66%
   2    2     5  20   4 | 96.98% 97.09% | 97.99% 97.99% | 47.60% 39.66%
   2    2     6   8   0 | 96.09% 97.32% | 97.88% 97.99% | 49.05% 42.01%
   2    2     6   8   2 | 96.09% 97.32% | 97.99% 97.99% | 49.05% 42.01%
   2    2     6   8   4 | 96.09% 97.32% | 97.99% 97.99% | 49.05% 42.01%
   2    2     6  12   0 | 96.87% 97.09% | 97.88% 97.99% | 49.16% 42.01%
   2    2     6  12   2 | 96.87% 97.09% | 97.99% 97.99% | 49.16% 42.01%
   2    2     6  12   4 | 96.87% 97.09% | 97.99% 97.99% | 49.16% 42.01%
   2    2     6  16   0 | 96.87% 97.09% | 97.88% 97.99% | 49.16% 42.01%
   2    2     6  16   2 | 96.87% 97.09% | 97.99% 97.99% | 49.16% 42.01%
   2    2     6  16   4 | 96.87% 97.09% | 97.99% 97.99% | 49.16% 42.01%
   2    2     6  20   0 | 96.98% 97.09% | 97.88% 97.99% | 49.16% 42.01%
   2    2     6  20   2 | 96.98% 97.09% | 97.99% 97.99% | 49.16% 42.01%
   2    2     6  20   4 | 96.98% 97.09% | 97.99% 97.99% | 49.16% 42.01%
   2    2     8   8   0 | 96.08% 97.31% | 97.77% 97.88% | 51.73% 43.91%
   2    2     8   8   2 | 96.08% 97.31% | 97.88% 97.88% | 51.73% 43.91%
   2    2     8   8   4 | 96.08% 97.31% | 97.88% 97.88% | 51.73% 43.91%
   2    2     8  12   0 | 96.86% 97.09% | 97.77% 97.88% | 51.84% 43.91%
   2    2     8  12   2 | 96.86% 97.09% | 97.88% 97.88% | 51.84% 43.91%
   2    2     8  12   4 | 96.86% 97.09% | 97.88% 97.88% | 51.84% 43.91%
   2    2     8  16   0 | 96.86% 97.09% | 97.77% 97.88% | 51.84% 43.91%
   2    2     8  16   2 | 96.86% 97.09% | 97.88% 97.88% | 51.84% 43.91%
   2    2     8  16   4 | 96.86% 97.09% | 97.88% 97.88% | 51.84% 43.91%
   2    2     8  20   0 | 96.98% 97.09% | 97.77% 97.88% | 51.84% 43.91%
   2    2     8  20   2 | 96.98% 97.09% | 97.88% 97.88% | 51.84% 43.91%
   2    2     8  20   4 | 96.98% 97.09% | 97.88% 97.88% | 51.84% 43.91%
   3    1     4   8   0 | 98.21% 99.66% | 99.66% 99.89% | 47.49% 43.91%
   3    1     4   8   2 | 98.21% 99.66% | 99.78% 99.89% | 47.49% 43.91%
   3    1     4   8   4 | 98.21% 99.66% | 99.78% 99.89% | 47.49% 44.02%
   3    1     4  12   0 | 99.11% 99.78% | 99.66% 99.89% | 47.49% 43.91%
   3    1     4  12   2 | 99.11% 99.78% | 99.78% 99.89% | 47.49% 43.91%
   3    1     4  12   4 | 99.11% 99.78% | 99.78% 99.89% | 47.49% 44.02%
   3    1     4  16   0 | 99.55% 99.78% | 99.66% 99.89% | 47.49% 43.91%
   3    1     4  16   2 | 99.55% 99.78% | 99.78% 99.89% | 47.49% 43.91%
   3    1     4  16   4 | 99.55% 99.78% | 99.78% 99.89% | 47.49% 44.02%
   3    1     4  20   0 | 99.66% 99.66% | 99.66% 99.89% | 47.37% 43.91%
   3    1     4  20   2 | 99.66% 99.66% | 99.78% 99.89% | 47.37% 43.91%
   3    1     4  20   4 | 99.66% 99.66% | 99.78% 99.89% | 47.37% 44.02%
   3    1     5   8   0 | 98.32% 99.78% | 99.78% 100.00% | 52.85% 47.04%
   3    1     5   8   2 | 98.32% 99.78% | 99.89% 100.00% | 52.85% 47.04%
   3    1     5   8   4 | 98.32% 99.78% | 99.89% 100.00% | 52.85% 47.15%
   3    1     5  12   0 | 99.22% 99.89% | 99.78% 100.00% | 52.85% 47.04%
   3    1     5  12   2 | 99.22% 99.89% | 99.89% 100.00% | 52.85% 47.04%
   3    1     5  12   4 | 99.22% 99.89% | 99.89% 100.00% | 52.85% 47.15%
   3    1     5  16   0 | 99.66% 99.89% | 99.78% 100.00% | 52.85% 47.04%
   3    1     5  16   2 | 99.66% 99.89% | 99.89% 100.00% | 52.85% 47.04%
   3    1     5  16   4 | 99.66% 99.89% | 99.89% 100.00% | 52.85% 47.15%
   3    1     5  20   0 | 99.78% 99.78% | 99.78% 100.00% | 52.74% 47.04%
   3    1     5  20   2 | 99.78% 99.78% | 99.89% 100.00% | 52.74% 47.04%
   3    1     5  20   4 | 99.78% 99.78% | 99.89% 100.00% | 52.74% 47.15%
   3    1     6   8   0 | 98.21% 99.78% | 99.78% 100.00% | 55.20% 48.72%
   3    1     6   8   2 | 98.21% 99.78% | 99.89% 100.00% | 55.20% 48.72%
   3    1     6   8   4 | 98.21% 99.78% | 99.89% 100.00% | 55.20% 48.83%
   3    1     6  12   0 | 99.22% 99.89% | 99.78% 100.00% | 55.20% 48.72%
   3    1     6  12   2 | 99.22% 99.89% | 99.89% 100.00% | 55.20% 48.72%
   3    1     6  12   4 | 99.22% 99.89% | 99.89% 100.00% | 55.20% 48.83%
   3    1     6  16   0 | 99.66% 99.89% | 99.78% 100.00% | 55.20% 48.72%
   3    1     6  16   2 | 99.66% 99.89% | 99.89% 100.00% | 55.20% 48.72%
   3    1     6  16   4 | 99.66% 99.89% | 99.89% 100.00% | 55.20% 48.83%
   3    1     6  20   0 | 99.78% 99.78% | 99.78% 100.00% | 55.08% 48.72%
   3    1     6  20   2 | 99.78% 99.78% | 99.89% 100.00% | 55.08% 48.72%
   3    1     6  20   4 | 99.78% 99.78% | 99.89% 100.00% | 55.08% 48.83%
   3    1     8   8   0 | 98.10% 99.78% | 99.66% 99.89% | 59.11% 49.27%
   3    1     8   8   2 | 98.10% 99.78% | 99.78% 99.89% | 59.11% 49.27%
   3    1     8   8   4 | 98.10% 99.78% | 99.78% 99.89% | 59.11% 49.39%
   3    1     8  12   0 | 99.22% 99.89% | 99.66% 99.89% | 59.22% 49.27%
   3    1     8  12   2 | 99.22% 99.89% | 99.78% 99.89% | 59.22% 49.27%
   3    1     8  12   4 | 99.22% 99.89% | 99.78% 99.89% | 59.22% 49.39%
   3    1     8  16   0 | 99.66% 99.89% | 99.66% 99.89% | 59.22% 49.27%
   3    1     8  16   2 | 99.66% 99.89% | 99.78% 99.89% | 59.22% 49.27%
   3    1     8  16   4 | 99.66% 99.89% | 99.78% 99.89% | 59.22% 49.39%
   3    1     8  20   0 | 99.89% 99.89% | 99.66% 99.89% | 59.22% 49.27%
   3    1     8  20   2 | 99.89% 99.89% | 99.78% 99.89% | 59.22% 49.27%
   3    1     8  20   4 | 99.89% 99.89% | 99.78% 99.89% | 59.22% 49.39%
   3    2     4   8   0 | 98.10% 99.66% | 99.78% 99.89% | 49.50% 44.58%
   3    2     4   8   2 | 98.10% 99.66% | 99.89% 99.89% | 49.50% 44.58%
   3    2     4   8   4 | 98.10% 99.66% | 99.89% 99.89% | 49.50% 44.69%
   3    2     4  12   0 | 99.11% 99.78% | 99.78% 99.89% | 49.50% 44.58%
   3    2     4  12   2 | 99.11% 99.78% | 99.89% 99.89% | 49.50% 44.58%
   3    2     4  12   4 | 99.11% 99.78% | 99.89% 99.89% | 49.50% 44.69%
   3    2     4  16   0 | 99.55% 99.78% | 99.78% 99.89% | 49.50% 44.58%
   3    2     4  16   2 | 99.55% 99.78% | 99.89% 99.89% | 49.50% 44.58%
   3    2     4  16   4 | 99.55% 99.78% | 99.89% 99.89% | 49.50% 44.69%
   3    2     4  20   0 | 99.66% 99.66% | 99.78% 99.89% | 49.39% 44.58%
   3    2     4  20   2 | 99.66% 99.66% | 99.89% 99.89% | 49.39% 44.58%
   3    2     4  20   4 | 99.66% 99.66% | 99.89% 99.89% | 49.39% 44.69%
   3    2     5   8   0 | 98.21% 99.78% | 99.89% 100.00% | 54.19% 47.49%
   3    2     5   8   2 | 98.21% 99.78% | 100.00% 100.00% | 54.19% 47.49%
   3    2     5   8   4 | 98.21% 99.78% | 100.00% 100.00% | 54.19% 47.60%
   3    2     5  12   0 | 99.22% 99.89% | 99.89% 100.00% | 54.19% 47.49%
   3    2     5  12   2 | 99.22% 99.89% | 100.00% 100.00% | 54.19% 47.49%
   3    2     5  12   4 | 99.22% 99.89% | 100.00% 100.00% | 54.19% 47.60%
   3    2     5  16   0 | 99.66% 99.89% | 99.89% 100.00% | 54.19% 47.49%
   3    2     5  16   2 | 99.66% 99.89% | 100.00% 100.00% | 54.19% 47.49%
   3    2     5  16   4 | 99.66% 99.89% | 100.00% 100.00% | 54.19% 47.60%
   3    2     5  20   0 | 99.78% 99.78% | 99.89% 100.00% | 54.08% 47.49%
   3    2     5  20   2 | 99.78% 99.78% | 100.00% 100.00% | 54.08% 47.49%
   3    2     5  20   4 | 99.78% 99.78% | 100.00% 100.00% | 54.08% 47.60%
   3    2     6   8   0 | 98.10% 99.78% | 99.89% 100.00% | 56.09% 49.16%
   3    2     6   8   2 | 98.10% 99.78% | 100.00% 100.00% | 56.09% 49.16%
   3    2     6   8   4 | 98.10% 99.78% | 100.00% 100.00% | 56.09% 49.27%
   3    2     6  12   0 | 99.22% 99.89% | 99.89% 100.00% | 56.09% 49.16%
   3    2     6  12   2 | 99.22% 99.89% | 100.00% 100.00% | 56.09% 49.16%
   3    2     6  12   4 | 99.22% 99.89% | 100.00% 100.00% | 56.09% 49.27%
   3    2     6  16   0 | 99.66% 99.89% | 99.89% 100.00% | 56.09% 49.16%
   3    2     6  16   2 | 99.66% 99.89% | 100.00% 100.00% | 56.09% 49.16%
   3    2     6  16   4 | 99.66% 99.89% | 100.00% 100.00% | 56.09% 49.27%
   3    2     6  20   0 | 99.78% 99.78% | 99.89% 100.00% | 55.98% 49.16%
   3    2     6  20   2 | 99.78% 99.78% | 100.00% 100.00% | 55.98% 49.16%
   3    2     6  20   4 | 99.78% 99.78% | 100.00% 100.00% | 55.98% 49.27%
   3    2     8   8   0 | 98.10% 99.78% | 99.78% 99.89% | 59.55% 51.51%
   3    2     8   8   2 | 98.10% 99.78% | 99.89% 99.89% | 59.55% 51.51%
   3    2     8   8   4 | 98.10% 99.78% | 99.89% 99.89% | 59.55% 51.62%
   3    2     8  12   0 | 99.22% 99.89% | 99.78% 99.89% | 59.66% 51.51%
   3    2     8  12   2 | 99.22% 99.89% | 99.89% 99.89% | 59.66% 51.51%
   3    2     8  12   4 | 99.22% 99.89% | 99.89% 99.89% | 59.66% 51.62%
   3    2     8  16   0 | 99.66% 99.89% | 99.78% 99.89% | 59.66% 51.51%
   3    2     8  16   2 | 99.66% 99.89% | 99.89% 99.89% | 59.66% 51.51%
   3    2     8  16   4 | 99.66% 99.89% | 99.89% 99.89% | 59.66% 51.62%
   3    2     8  20   0 | 99.89% 99.89% | 99.78% 99.89% | 59.66% 51.51%
   3    2     8  20   2 | 99.89% 99.89% | 99.89% 99.89% | 59.66% 51.51%
   3    2     8  20   4 | 99.89% 99.89% | 99.89% 99.89% | 59.66% 51.62%
   4    1     4   8   0 | 97.54% 99.55% | 99.66% 99.89% | 48.27% 51.17%
   4    1     4   8   2 | 97.54% 99.55% | 99.78% 99.89% | 48.27% 51.17%
   4    1     4   8   4 | 97.54% 99.55% | 99.78% 99.89% | 48.27% 51.28%
   4    1     4  12   0 | 98.88% 99.78% | 99.66% 99.89% | 48.27% 51.17%
   4    1     4  12   2 | 98.88% 99.78% | 99.78% 99.89% | 48.27% 51.17%
   4    1     4  12   4 | 98.88% 99.78% | 99.78% 99.89% | 48.27% 51.28%
   4    1     4  16   0 | 99.55% 99.78% | 99.66% 99.89% | 48.27% 51.17%
   4    1     4  16   2 | 99.55% 99.78% | 99.78% 99.89% | 48.27% 51.17%
   4    1     4  16   4 | 99.55% 99.78% | 99.78% 99.89% | 48.27% 51.28%
   4    1     4  20   0 | 99.55% 99.66% | 99.66% 99.89% | 48.16% 51.17%
   4    1     4  20   2 | 99.55% 99.66% | 99.78% 99.89% | 48.16% 51.17%
   4    1     4  20   4 | 99.55% 99.66% | 99.78% 99.89% | 48.16% 51.28%
   4    1     5   8   0 | 97.54% 99.66% | 99.78% 100.00% | 53.74% 53.63%
   4    1     5   8   2 | 97.54% 99.66% | 99.89% 100.00% | 53.74% 53.63%
   4    1     5   8   4 | 97.54% 99.66% | 99.89% 100.00% | 53.74% 53.74%
   4    1     5  12   0 | 98.99% 99.89% | 99.78% 100.00% | 53.74% 53.63%
   4    1     5  12   2 | 98.99% 99.89% | 99.89% 100.00% | 53.74% 53.63%
   4    1     5  12   4 | 98.99% 99.89% | 99.89% 100.00% | 53.74% 53.74%
   4    1     5  16   0 | 99.66% 99.89% | 99.78% 100.00% | 53.74% 53.63%
   4    1     5  16   2 | 99.66% 99.89% | 99.89% 100.00% | 53.74% 53.63%
   4    1     5  16   4 | 99.66% 99.89% | 99.89% 100.00% | 53.74% 53.74%
   4    1     5  20   0 | 99.66% 99.78% | 99.78% 100.00% | 53.63% 53.63%
   4    1     5  20   2 | 99.66% 99.78% | 99.89% 100.00% | 53.63% 53.63%
   4    1     5  20   4 | 99.66% 99.78% | 99.89% 100.00% | 53.63% 53.74%
   4    1     6   8   0 | 97.43% 99.66% | 99.78% 100.00% | 56.09% 54.41%
   4    1     6   8   2 | 97.43% 99.66% | 99.89% 100.00% | 56.09% 54.41%
   4    1     6   8   4 | 97.43% 99.66% | 99.89% 100.00% | 56.09% 54.53%
   4    1     6  12   0 | 98.99% 99.89% | 99.78% 100.00% | 56.09% 54.41%
   4    1     6  12   2 | 98.99% 99.89% | 99.89% 100.00% | 56.09% 54.41%
   4    1     6  12   4 | 98.99% 99.89% | 99.89% 100.00% | 56.09% 54.53%
   4    1     6  16   0 | 99.66% 99.89% | 99.78% 100.00% | 56.09% 54.41%
   4    1     6  16   2 | 99.66% 99.89% | 99.89% 100.00% | 56.09% 54.41%
   4    1     6  16   4 | 99.66% 99.89% | 99.89% 100.00% | 56.09% 54.53%
   4    1     6  20   0 | 99.66% 99.78% | 99.78% 100.00% | 55.98% 54.41%
   4    1     6  20   2 | 99.66% 99.78% | 99.89% 100.00% | 55.98% 54.41%
   4    1     6  20   4 | 99.66% 99.78% | 99.89% 100.00% | 55.98% 54.53%
   4    1     8   8   0 | 97.31% 99.66% | 99.66% 99.89% | 60.00% 54.53%
   4    1     8   8   2 | 97.31% 99.66% | 99.78% 99.89% | 60.00% 54.53%
   4    1     8   8   4 | 97.31% 99.66% | 99.78% 99.89% | 60.00% 54.64%
   4    1     8  12   0 | 98.99% 99.89% | 99.66% 99.89% | 60.11% 54.53%
   4    1     8  12   2 | 98.99% 99.89% | 99.78% 99.89% | 60.11% 54.53%
   4    1     8  12   4 | 98.99% 99.89% | 99.78% 99.89% | 60.11% 54.64%
   4    1     8  16   0 | 99.66% 99.89% | 99.66% 99.89% | 60.11% 54.53%
   4    1     8  16   2 | 99.66% 99.89% | 99.78% 99.89% | 60.11% 54.53%
   4    1     8  16   4 | 99.66% 99.89% | 99.78% 99.89% | 60.11% 54.64%
   4    1     8  20   0 | 99.78% 99.89% | 99.66% 99.89% | 60.11% 54.53%
   4    1     8  20   2 | 99.78% 99.89% | 99.78% 99.89% | 60.11% 54.53%
   4    1     8  20   4 | 99.78% 99.89% | 99.78% 99.89% | 60.11% 54.64%
   4    2     4   8   0 | 97.43% 99.55% | 99.78% 99.89% | 50.06% 53.63%
   4    2     4   8   2 | 97.43% 99.55% | 99.89% 99.89% | 50.06% 53.63%
   4    2     4   8   4 | 97.43% 99.55% | 99.89% 99.89% | 50.06% 53.74%
   4    2     4  12   0 | 98.88% 99.78% | 99.78% 99.89% | 50.06% 53.63%
   4    2     4  12   2 | 98.88% 99.78% | 99.89% 99.89% | 50.06% 53.63%
   4    2     4  12   4 | 98.88% 99.78% | 99.89% 99.89% | 50.06% 53.74%
   4    2     4  16   0 | 99.55% 99.78% | 99.78% 99.89% | 50.06% 53.63%
   4    2     4  16   2 | 99.55% 99.78% | 99.89% 99.89% | 50.06% 53.63%
   4    2     4  16   4 | 99.55% 99.78% | 99.89% 99.89% | 50.06% 53.74%
   4    2     4  20   0 | 99.55% 99.66% | 99.78% 99.89% | 49.94% 53.63%
   4    2     4  20   2 | 99.55% 99.66% | 99.89% 99.89% | 49.94% 53.63%
   4    2     4  20   4 | 99.55% 99.66% | 99.89% 99.89% | 49.94% 53.74%
   4    2     5   8   0 | 97.43% 99.66% | 99.89% 100.00% | 54.75% 55.98%
   4    2     5   8   2 | 97.43% 99.66% | 100.00% 100.00% | 54.75% 55.98%
   4    2     5   8   4 | 97.43% 99.66% | 100.00% 100.00% | 54.75% 56.09%
   4    2     5  12   0 | 98.99% 99.89% | 99.89% 100.00% | 54.75% 55.98%
   4    2     5  12   2 | 98.99% 99.89% | 100.00% 100.00% | 54.75% 55.98%
   4    2     5  12   4 | 98.99% 99.89% | 100.00% 100.00% | 54.75% 56.09%
   4    2     5  16   0 | 99.66% 99.89% | 99.89% 100.00% | 54.75% 55.98%
   4    2     5  16   2 | 99.66% 99.89% | 100.00% 100.00% | 54.75% 55.98%
   4    2     5  16   4 | 99.66% 99.89% | 100.00% 100.00% | 54.75% 56.09%
   4    2     5  20   0 | 99.66% 99.78% | 99.89% 100.00% | 54.64% 55.98%
   4    2     5  20   2 | 99.66% 99.78% | 100.00% 100.00% | 54.64% 55.98%
   4    2     5  20   4 | 99.66% 99.78% | 100.00% 100.00% | 54.64% 56.09%
   4    2     6   8   0 | 97.32% 99.66% | 99.89% 100.00% | 56.65% 56.54%
   4    2     6   8   2 | 97.32% 99.66% | 100.00% 100.00% | 56.65% 56.54%
   4    2     6   8   4 | 97.32% 99.66% | 100.00% 100.00% | 56.65% 56.65%
   4    2     6  12   0 | 98.99% 99.89% | 99.89% 100.00% | 56.65% 56.54%
   4    2     6  12   2 | 98.99% 99.89% | 100.00% 100.00% | 56.65% 56.54%
   4    2     6  12   4 | 98.99% 99.89% | 100.00% 100.00% | 56.65% 56.65%
   4    2     6  16   0 | 99.66% 99.89% | 99.89% 100.00% | 56.65% 56.54%
   4    2     6  16   2 | 99.66% 99.89% | 100.00% 100.00% | 56.65% 56.54%
   4    2     6  16   4 | 99.66% 99.89% | 100.00% 100.00% | 56.65% 56.65%
   4    2     6  20   0 | 99.66% 99.78% | 99.89% 100.00% | 56.54% 56.54%
   4    2     6  20   2 | 99.66% 99.78% | 100.00% 100.00% | 56.54% 56.54%
   4    2     6  20   4 | 99.66% 99.78% | 100.00% 100.00% | 56.54% 56.65%
   4    2     8   8   0 | 97.31% 99.66% | 99.78% 99.89% | 60.22% 57.88%
   4    2     8   8   2 | 97.31% 99.66% | 99.89% 99.89% | 60.22% 57.88%
   4    2     8   8   4 | 97.31% 99.66% | 99.89% 99.89% | 60.22% 57.99%
   4    2     8  12   0 | 98.99% 99.89% | 99.78% 99.89% | 60.34% 57.88%
   4    2     8  12   2 | 98.99% 99.89% | 99.89% 99.89% | 60.34% 57.88%
   4    2     8  12   4 | 98.99% 99.89% | 99.89% 99.89% | 60.34% 57.99%
   4    2     8  16   0 | 99.66% 99.89% | 99.78% 99.89% | 60.34% 57.88%
   4    2     8  16   2 | 99.66% 99.89% | 99.89% 99.89% | 60.34% 57.88%
   4    2     8  16   4 | 99.66% 99.89% | 99.89% 99.89% | 60.34% 57.99%
   4    2     8  20   0 | 99.78% 99.89% | 99.78% 99.89% | 60.34% 57.88%
   4    2     8  20   2 | 99.78% 99.89% | 99.89% 99.89% | 60.34% 57.88%
   4    2     8  20   4 | 99.78% 99.89% | 99.89% 99.89% | 60.34% 57.99%

TOP 10 pelo PIOR dos dois eixos (o gargalo e o pior):
  dilX=3 dilY=2 corta=8 folga_x=20 folga_y=2 -> x 99.89% / y 99.89% | nb=nt x 59.66% y 51.51%
  dilX=3 dilY=2 corta=8 folga_x=20 folga_y=4 -> x 99.89% / y 99.89% | nb=nt x 59.66% y 51.62%
  dilX=3 dilY=1 corta=5 folga_x=20 folga_y=0 -> x 99.78% / y 99.78% | nb=nt x 52.74% y 47.04%
  dilX=3 dilY=1 corta=5 folga_x=20 folga_y=2 -> x 99.78% / y 99.89% | nb=nt x 52.74% y 47.04%
  dilX=3 dilY=1 corta=5 folga_x=20 folga_y=4 -> x 99.78% / y 99.89% | nb=nt x 52.74% y 47.15%
  dilX=3 dilY=1 corta=6 folga_x=20 folga_y=0 -> x 99.78% / y 99.78% | nb=nt x 55.08% y 48.72%
  dilX=3 dilY=1 corta=6 folga_x=20 folga_y=2 -> x 99.78% / y 99.89% | nb=nt x 55.08% y 48.72%
  dilX=3 dilY=1 corta=6 folga_x=20 folga_y=4 -> x 99.78% / y 99.89% | nb=nt x 55.08% y 48.83%
  dilX=3 dilY=1 corta=8 folga_x=20 folga_y=2 -> x 99.89% / y 99.78% | nb=nt x 59.22% y 49.27%
  dilX=3 dilY=1 corta=8 folga_x=20 folga_y=4 -> x 99.89% / y 99.78% | nb=nt x 59.22% y 49.39%
