  carregado 300
  carregado 600
  carregado 900
n=895

dilX dilY corta folga |  x<=3px  x<=8px |  y<=3px  y<=8px | nb=nt x nb=nt y
   3    1     6     0 | 88.83% 98.88% | 99.78% 100.00% | 54.86% 48.72%
   3    1     6     6 | 96.65% 99.66% | 99.66% 99.78% | 55.20% 48.72%
   3    1     6    12 | 99.22% 99.89% | 97.09% 97.21% | 55.20% 47.26%
   3    2     0     0 | 83.24% 88.83% | 75.31% 75.53% | 26.03% 26.59%
   3    2     0     6 | 87.15% 89.05% | 73.07% 73.41% | 26.15% 25.59%
   3    2     0    12 | 88.38% 89.16% | 67.15% 67.49% | 26.15% 23.58%
   3    2     3     0 | 90.61% 98.66% | 98.77% 98.77% | 44.92% 41.45%
   3    2     3     6 | 96.98% 99.44% | 97.77% 97.77% | 45.03% 40.89%
   3    2     3    12 | 98.99% 99.66% | 92.74% 92.74% | 45.03% 38.44%
   3    2     4     0 | 89.83% 98.77% | 99.78% 99.89% | 49.27% 44.58%
   3    2     4     6 | 96.87% 99.55% | 99.66% 99.66% | 49.50% 44.58%
   3    2     4    12 | 99.11% 99.78% | 95.20% 95.20% | 49.50% 42.23%
   3    2     5     0 | 89.39% 98.88% | 99.89% 100.00% | 53.97% 47.49%
   3    2     5     6 | 96.87% 99.66% | 99.78% 99.78% | 54.19% 47.49%
   3    2     5    12 | 99.22% 99.89% | 96.54% 96.54% | 54.19% 45.59%
   3    2     6     0 | 88.49% 98.88% | 99.89% 100.00% | 55.87% 49.16%
   3    2     6     6 | 96.54% 99.66% | 99.78% 99.78% | 56.09% 49.16%
   3    2     6    12 | 99.22% 99.89% | 97.21% 97.21% | 56.09% 47.71%
   4    0     0     0 | 83.91% 89.05% | 75.08% 75.53% | 20.45% 28.38%
   4    0     0     6 | 86.70% 88.94% | 72.96% 73.41% | 20.56% 27.49%
   4    0     0    12 | 87.60% 89.05% | 67.04% 67.49% | 20.56% 25.03%
   4    0     3     0 | 89.94% 98.55% | 98.55% 98.77% | 40.56% 42.68%
   4    0     3     6 | 96.65% 99.44% | 97.54% 97.77% | 40.67% 42.23%
   4    0     3    12 | 98.77% 99.66% | 92.51% 92.74% | 40.67% 39.89%
   4    0     4     0 | 88.83% 98.55% | 99.66% 99.89% | 46.48% 45.14%
   4    0     4     6 | 96.31% 99.55% | 99.44% 99.66% | 46.70% 45.03%
   4    0     4    12 | 98.88% 99.78% | 94.97% 95.20% | 46.70% 42.91%
   4    0     5     0 | 88.16% 98.66% | 99.78% 100.00% | 51.84% 47.04%
   4    0     5     6 | 96.31% 99.66% | 99.55% 99.78% | 52.18% 46.93%
   4    0     5    12 | 98.99% 99.89% | 96.31% 96.54% | 52.18% 45.25%
   4    0     6     0 | 87.26% 98.66% | 99.78% 100.00% | 53.74% 48.04%
   4    0     6     6 | 95.98% 99.66% | 99.55% 99.78% | 54.08% 47.93%
   4    0     6    12 | 98.99% 99.89% | 96.98% 97.21% | 54.08% 46.59%
   4    1     0     0 | 83.69% 89.05% | 75.20% 75.53% | 22.91% 34.19%
   4    1     0     6 | 86.82% 89.05% | 73.07% 73.41% | 23.02% 33.18%
   4    1     0    12 | 87.71% 89.16% | 67.15% 67.49% | 23.02% 30.17%
   4    1     3     0 | 89.94% 98.55% | 98.66% 98.77% | 42.79% 48.72%
